instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,minor_faults,page_faults,thread,seconds,workload,class,app,dwarfs,power,MIPS,instructions_per_cycle,instructions_per_loads,instructions_per_stores,instructions_per_branches,instruction_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
18211158795,7908261794,1,123836745,543625,242,16132175,66350,3069788676,5050532350,111662424,19435477,921,13494509,1401,1401,1,2.94,W,CPU,bt,DLA,302,6194.27169897959,2.30280171159948,1349.5236317972,937.006011995486,147.057796092751,274471.119743783,0.741002214735781,1.06722901155176,45.2303663943387,6.13153864929549,0.004389852139605,0.029851203106815,0.003643370570038
18186565478,7882933719,1,123981064,641910,243,15602419,70554,3079253485,5062687056,113301870,19459053,3956,13383442,1399,1399,1,2.94,W,CPU,bt,DLA,302,6185.90662517007,2.307080856733,1358.88551525086,934.606914221365,146.688251344576,257768.028432123,0.735897166300572,1.06996854483268,44.6831729785219,6.22997619517877,0.005177484200329,0.035295834212156,0.003879457068755
18182717018,7872629450,1,124079166,528613,243,15809351,62211,3085752603,5069634478,112863929,19168242,4020,13874169,1398,1398,1,2.93,W,CPU,bt,DLA,302,6205.7054668942,2.30961169117391,1310.54458238184,948.585531109217,146.541257522637,292274.951664497,0.763041573284414,1.05420119452029,44.9181108873146,6.20720923546631,0.004260288145393,0.029072277783166,0.003421435857931
18208526923,7882276029,1,123912186,613387,244,16188420,85984,3080563960,5058094112,114054511,19614112,1621,13362997,1401,1401,1,2.94,W,CPU,bt,DLA,302,6193.37650442177,2.31005953813445,1362.60802296072,928.338072251244,146.947023620421,211766.45565454,0.733886769451987,1.07719378305252,44.3480408416288,6.2637967081199,0.004950174956965,0.033686799739149,0.004722183203705
18152912362,7888943757,1,124346036,569546,241,15946423,64238,3077786877,5062154316,112796729,19480285,4135,13614341,1397,1397,1,2.93,W,CPU,bt,DLA,302,6195.53322935153,2.30105739388655,1333.36695195162,931.860717746173,145.987061155693,282588.380117687,0.749981090004008,1.07312174551003,44.8785559730194,6.21369875811887,0.004580330972513,0.031374910462976,0.003538715921665
18168722628,7883761578,1,124148630,594723,242,16059628,18397,3078298862,5062989417,111695965,19394596,708,13584369,1397,1397,1,2.93,W,CPU,bt,DLA,302,6200.92922457338,2.30457535381342,1337.47269586096,936.793044206747,146.34654146405,987591.597977931,0.747678814748649,1.06747163227154,45.3283108033491,6.14770599380852,0.004790411299746,0.032733341367844,0.001012564304969
18202959851,7884561324,1,123697644,577622,244,15886299,99126,3081421295,5062189512,113025726,19184826,4001,13761160,1400,1400,1,2.92,W,CPU,bt,DLA,302,6233.89035993151,2.30868390808143,1322.7780107927,948.820690424818,147.156884014703,183634.564604645,0.755984747131331,1.0539399173012,44.7879406852914,6.20919492902089,0.004669628145868,0.031732311927737,0.005445597903385
18133633764,7876903304,1,123490962,566695,246,16439103,76975,3095869574,5026645935,113977870,19186841,4323,13347715,1400,1400,1,2.96,W,CPU,bt,DLA,302,6126.22762297297,2.30212725282428,1358.55715858482,945.107835312754,146.841788826619,235578.223631049,0.736075029071046,1.05808031913002,44.1019465884035,6.28544016512983,0.004588959311856,0.031251044736827,0.004244874524422
18199042722,7889386199,1,123369468,635015,240,16230261,59842,3072102707,5058762252,111410671,19768158,998,13289474,1399,1399,1,2.94,W,CPU,bt,DLA,302,6190.15058571429,2.30677549088759,1369.43288515407,920.624102761623,147.51658588655,304118.223354834,0.730229287496257,1.08621966011999,45.4064427275552,6.12178743145213,0.005147262205913,0.03489276934508,0.003288194929487
18198562463,7881578656,1,123846971,675518,242,16235845,67920,3069445309,5051463997,111658241,19504962,896,13115553,1398,1398,1,2.94,W,CPU,bt,DLA,302,6189.98723231293,2.30899966330299,1387.5558631039,933.022195223964,146.943944741289,267941.143448174,0.720691704450041,1.0717858643866,45.2404045752431,6.13555280682282,0.005454457178448,0.037119305515115,0.003732162918807
