instructions,cycles,cpu_clock,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,thread,seconds,workload,class,app,GFlops,Band,IA,MIPS,Instructions_per_cycle,dwarfs,instructions_per_loads,instructions_per_stores,instructions_per_branches,instructions_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17634382175,6112935909,1344.64,1,105350638,668320,157.63502214508,6,103064125,12113,0,3082542392,4926924197,109351939,2129735,3170,3995369,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12418.5789964789,2.88476477383594,DLA,4413.70551130571,8280.08281546765,167.38752142156,1455822.84941798,0.226566996243519,0.120771738916904,45.0556637774846,6.20106437043349,0.00634376794187,0.037898690941805,0.0006868967611
17890096169,6124182587,1373.4,1,104044960,694933,149.719411799411,6,101756986,206031,0,3065512757,4921839657,110907459,2156181,822,4069952,1,1.45,W,CPU,bt,5.11045,0.03213,159.05539,12337.997357931,2.92122187979436,DLA,4395.65286494779,8297.12170221331,171.945821969656,86832.0600734841,0.227497491436207,0.120523723273005,44.3778957824649,6.19937746294403,0.006679160624407,0.038844564804754,0.011516483648479
17620039506,6117706954,1344.19,1,105285305,755635,139.333547281426,5,103232210,14612,0,3080843098,4926640435,108621150,2163725,4277,4022483,1,1.41,W,CPU,bt,5.11045,0.03213,159.05539,12496.4819191489,2.88017056692775,DLA,4380.38880611801,8143.3821331269,167.35516419884,1205860.90240898,0.228290237296588,0.122799100380178,45.3561800349195,6.1646371430105,0.007177022472414,0.042884977626906,0.000829283044174
17661347145,11256903345,2495.37,1,105966764,699552,151.47803737249,10,127273999,15146,0,3085479146,4932127915,279411101,2422825,36,5168534,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13279.2083796992,1.56893477750652,DLA,3417.09025131691,7289.56781649521,166.66874101204,1166073.36227387,0.292646645670131,0.137182344025547,17.6518681517954,15.8204863256483,0.006601617088166,0.03960920954991,0.000857578976035
17717577288,11273660241,2512.18,1,103884215,710883,146.134054408391,12,123210297,238492,0,3095838862,4950695228,279774007,1649011,389,4713483,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13321.4866827068,1.57159049583247,DLA,3758.91401072201,10744.3657367962,170.551197677145,74290.0277074283,0.266034284675728,0.093072036497725,17.6953366078787,15.7907597891213,0.00684303192742,0.040123036487696,0.013460756858757
17640739461,11311943451,2506.85,2,106305929,712728,149.15357471574,9,127017313,14523,0,3088908939,4930409724,280746506,1876711,388,4942821,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13263.7138804511,1.55947910608062,DLA,3568.96182584803,9399.81673310382,165.943138138607,1214675.9940095,0.280193526520107,0.106385052857281,17.5617848081073,15.9146676714245,0.006704499050095,0.040402387982414,0.000823264808831
17618639990,11275796773,2494.77,2,106190929,749259,141.727932530674,8,127447792,10749,0,3081829042,4927533813,281008255,1789491,13,5032117,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13148.2387985075,1.5625184051018,DLA,3501.23814490005,9845.61531184007,165.91473637075,1639095.72890501,0.285613248403744,0.101568055253736,17.5351923842949,15.9494861782462,0.007055772155454,0.042526494691149,0.000610092493297
17734851693,11306851613,2515.6,2,104170640,696061,149.657343250089,7,119925098,230988,0,3082231309,4933607152,281785496,1408224,170,4577679,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13234.96395,1.56850485882466,DLA,3874.20168452178,12593.7717955382,170.248082309948,76778.238233155,0.258117692735306,0.0794043290791,17.5083786143486,15.8887991215185,0.006681930724434,0.039248199649436,0.013024523914749
17626279244,11298734182,2502.99,2,106083546,694385,152.77338364164,7,131606884,34737,0,3078935078,4932957516,280645935,2630281,55,5332791,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13153.9397343284,1.56002247332099,DLA,3305.26346222832,6701.29132362664,166.154695130572,507420.883899013,0.302547742843419,0.149224970488048,17.5771564836669,15.9220179775339,0.006545642808735,0.039394871168648,0.00197075057754
17598411038,11254579747,2498.73,2,106156632,695950,152.534854515411,7,126437804,11671,0,3086668661,4934710541,280510891,1940782,23,5056486,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13231.8879984962,1.56366665247461,DLA,3480.36384121305,9067.69077516177,165.777782381039,1507875.16391055,0.287326281280827,0.110281660986853,17.5918679071894,15.9395578608942,0.006555878675578,0.039546183942246,0.000663184873612
17559268813,11151442982,2509.38,2,104956683,690163,152.075209769286,7,125126874,114969,0,3095716325,4957721239,280703152,2149157,46,5105896,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13103.93195,1.57461853513874,DLA,3439.01811023961,8170.3052931917,167.300150034277,152730.464847046,0.290780672838715,0.12239444722259,17.6617939758653,15.9860387690051,0.006575693707851,0.039304768743505,0.006547482200106
17741515590,11294582405,2508.5,1,104476633,687572,151.950098316976,8,123869392,214584,0,3091553783,4948393605,282213378,1616265,20,4795452,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13339.485406015,1.5707987204685,DLA,3699.65450389244,10976.8605952613,169.813240344374,82678.6507381725,0.270295509742299,0.091100728785032,17.534227611988,15.9069486802508,0.006581107949756,0.038754975385956,0.012095020795233
17738829384,11228532514,2518.34,2,104356579,696681,149.79105071044,10,124194158,219638,0,3089688754,4953135475,282489904,2155327,485,4946640,2,1.35,W,CPU,bt,5.60469,0.03133,178.89211,13139.8736177778,1.5797994405665,DLA,3586.03605356363,8230.22649648986,169.982856413873,80763.9360402116,0.278859438405882,0.12150333899395,17.5338495460001,15.9249462230467,0.006675966256042,0.039274350348529,0.012381764052486
17584334694,11273674059,2503.81,2,106045034,697199,152.101529118659,8,126566388,15992,0,3085060428,4932166058,279104326,2364731,52,5039622,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13221.304281203,1.55976965468166,DLA,3489.21698770265,7436.08245250728,165.819501684539,1099570.70372686,0.28659725191193,0.134479412565258,17.6714067054625,15.8723278905305,0.006574555862748,0.039648869981865,0.000909445837917
17674820906,11245489062,2510.26,1,105061763,681277,154.21298972371,8,122901654,215853,0,3089801231,4953070651,282671080,1532982,0,4585009,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13289.3390270677,1.57172540994465,DLA,3854.91520431039,11529.6989175346,168.232670015256,81883.6009043191,0.259409078280592,0.086732533707292,17.5223820243656,15.9928681316393,0.006484538052155,0.038545058171918,0.01221245754896
17614298954,11281624532,2495.51,2,106256597,698585,152.102603119162,7,126776934,12774,0,3080256309,4927504764,280407830,2175176,6,5333308,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13243.8338,1.56132646535413,DLA,3302.69674168452,8097.87297855438,165.771344568846,1378918.03303585,0.302782870548979,0.123489217804268,17.5726361278856,15.9193295590298,0.006574509439635,0.039660108064724,0.000725206267553
17672056894,11298491251,2499.42,2,106056332,690747,153.538606754716,8,124089868,14080,0,3081545506,4924577745,279696663,1805510,189,4983476,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13188.1021597015,1.56410767609666,DLA,3546.13063131035,9787.8476962188,166.62896557652,1255117.67713068,0.281997507697702,0.102167507202458,17.6068519809262,15.8270576355468,0.006513019892108,0.039086961078907,0.000796738041556
17630707864,11266170362,2492.5,2,105694794,699588,151.08148510266,11,130158121,12920,0,3085184302,4926727588,280990167,2579440,62,5331390,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13256.1713263158,1.56492466361659,DLA,3306.96269903346,6835.09128493006,166.807722469283,1364605.87182663,0.302392282892176,0.146303825115663,17.5334519374836,15.9375431302876,0.00661894473251,0.039680085756992,0.000732812323797
17637769953,11281740732,2499.01,2,105779571,697479,151.659865028194,9,125572045,18838,0,3087275482,4936680312,281637820,1786896,280,4875038,2,1.32,W,CPU,bt,5.60469,0.03133,178.89211,13361.9469340909,1.56339082522713,DLA,3617.97589126485,9870.61919272302,166.740796793362,936286.758307676,0.276397640574216,0.101310766880485,17.5284708282432,15.9678814697374,0.006593702294368,0.039544625077807,0.001068048854827
17661814442,11297332662,2503.54,2,105813324,691577,153.002954117907,7,124806596,24465,0,3088184356,4931932979,280913139,1743079,78,4729860,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13279.5597308271,1.56336145623185,DLA,3734.10934826824,10132.538136252,166.914843748789,721921.702105048,0.267801477335892,0.098691955219218,17.5567899620388,15.9051121232474,0.006535821519037,0.039156622456378,0.001385191769529
17610300594,11229014912,2490.26,2,106209283,695727,152.659423883219,7,139328427,14893,0,3084052057,4934196145,278147205,4096253,396,5520942,2,1.32,W,CPU,bt,5.60469,0.03133,178.89211,13341.1368136364,1.56828544017522,DLA,3189.72751280488,4299.12424696424,165.807546163361,1182454.88444236,0.313506403285418,0.232605512786967,17.7395136686705,15.7945745170737,0.006550529109588,0.039506821379133,0.000845698227609
